model,dataset,n_estimators,max_depth,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,generalization_gap_mean,generalization_gap_std
ShapeFBT,magic,40,3,0.8060022,0.00895502030706795,0.7941662,0.01477433544021526,0.8026160000000001,0.010915405787234832,0.0033862000000000002,0.012002677022231333
ShapeFBT,magic,40,4,0.8107874,0.0033319319170715396,0.798205,0.010984815155477145,0.8014202000000001,0.006796526554056831,0.009367200000000001,0.008414787858288527
ShapeFBT,magic,60,3,0.8080102,0.005763646692849946,0.799252,0.004475156645303074,0.8019432,0.01014491299617698,0.006067,0.007809674897202828
ShapeFBT,magic,60,4,0.813922,0.005837339862186104,0.80011225,0.011560904416033684,0.80502625,0.006036552292768802,0.008895750000000001,0.0017240054862635054
ShapeFBT,magic,80,3,0.8138413999999999,0.004629056037682009,0.7998504000000001,0.009513832681942707,0.8029896000000001,0.011546252500270393,0.010851799999999998,0.008125341635894458
ShapeFBT,magic,80,4,0.8109045,0.0006795296167202648,0.7853405,0.010577610339769524,0.792414,0.007134707422172334,0.0184905,0.007814237038892535
ShapeFBT,magic,80,5,0.795151,,0.786088,,0.786622,,0.008529,
ShapeFBT,magic,100,3,0.8095053999999999,0.0073690134889278225,0.793867,0.00661840834340099,0.8007474,0.01567595355313352,0.008758,0.010692100986242134
ShapeFBT,magic,100,4,0.8023426666666666,0.0042186763721969965,0.7928196666666666,0.004670698056322318,0.789736,0.009125289639238848,0.012606666666666667,0.006107893772269893
ShapeFBT,raisin,10,3,0.8885714,0.005429456906542307,0.8444444000000001,0.011111500002249917,0.8622222,0.02304076634359195,0.0263492,0.02831929918271284
ShapeFBT,raisin,10,4,0.8996826,0.006388918280898542,0.8533332,0.018257753303733724,0.8566668,0.025579812161155516,0.04301580000000001,0.02733478551589531
ShapeFBT,raisin,10,5,0.9047620000000001,0.007694969785515707,0.8511112000000001,0.028974441697813578,0.86,0.022013036262633127,0.044762,0.02565991447764392
ShapeFBT,raisin,20,3,0.8898412,0.007411169759221569,0.8533334,0.019876464154874218,0.86,0.018592453334619414,0.029841200000000002,0.02396515172495263
ShapeFBT,raisin,20,4,0.9050794,0.01173959540614577,0.8466666,0.016480714511209735,0.861111,0.02041248256582233,0.0439684,0.028772546190770118
ShapeFBT,raisin,20,5,0.9047620000000001,0.010588821558606038,0.8511112000000001,0.025579899036157223,0.8544446000000001,0.03027643931838749,0.0503174,0.03400962921438574
ShapeFBT,raisin,40,3,0.8923808000000001,0.00686387603326282,0.8577778,0.02137287712733126,0.8611112000000001,0.02389510901209698,0.031269599999999995,0.029410724010129365
ShapeFBT,raisin,40,4,0.9022222,0.01068339745586584,0.8444445999999999,0.035136541424847165,0.857778,0.027943886674906188,0.0444442,0.037842325558823685
ShapeFBT,raisin,40,5,0.9050794,0.013011968444474508,0.8622222,0.04687790550675232,0.8544444,0.025879490427749924,0.050635000000000006,0.03253680591268909
ShapeFBT,raisin,60,3,0.8968254,0.006827456319889535,0.8666668,0.026058031155480648,0.8533332,0.0198760868180837,0.0434922,0.024231789599614802
ShapeFBT,raisin,60,4,0.9041271999999999,0.01196277094572992,0.86,0.020184656809071565,0.8611112000000001,0.017123119888034468,0.043016,0.02647356066909021
ShapeFBT,raisin,60,5,0.9187301999999999,0.008503598161954713,0.8555558,0.036004140709090665,0.8533334,0.017829778119763585,0.0653968,0.024115659180291966
ShapeFBT,raisin,80,3,0.8987301999999999,0.0030530713552093833,0.8555558,0.032394281998525586,0.8611112000000001,0.020787178505030465,0.037619,0.020799384438006812
ShapeFBT,raisin,80,4,0.915873,0.008620997187100845,0.8511112000000001,0.032011018551430015,0.8599998,0.021659416167108494,0.0558732,0.023122105250171318
ShapeFBT,raisin,80,5,0.9184128000000001,0.004288689158705721,0.8666668,0.03767960282699382,0.8533332,0.017829746961188227,0.0650796,0.01890683455261615
ShapeFBT,raisin,100,3,0.9047618,0.007009304366340542,0.8488887999999999,0.018592737203004785,0.86,0.018172713913997576,0.044761800000000004,0.024037286300662142
ShapeFBT,raisin,100,4,0.9215874,0.009950627934959665,0.8533334,0.024088489134854455,0.8533336,0.02026069143193289,0.0682538,0.028970809303504107
ShapeFBT,raisin,100,5,0.9333334000000001,0.008015442395775816,0.8399998,0.01685106144134545,0.85,0.022906398374689916,0.0833334,0.016342588818788775
