model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,magic,0,1,80,5,0.804336,0.774121,0.786248,0.018088,108.739444,fbt_capability_magic_n80_d5_trial_0_fold_1.json
FBT,magic,0,1,80,4,0.802734,0.768886,0.783632,0.019102,62.923711,fbt_capability_magic_n80_d4_trial_0_fold_1.json
FBT,magic,0,2,80,5,0.800919,0.792072,0.806428,-0.005509,90.848053,fbt_capability_magic_n80_d5_trial_0_fold_2.json
FBT,magic,0,2,80,4,0.796112,0.771877,0.798954,-0.002842,74.533636,fbt_capability_magic_n80_d4_trial_0_fold_2.json
FBT,magic,0,2,80,3,0.808715,0.78534,0.810912,-0.002197,36.537388,fbt_capability_magic_n80_d3_trial_0_fold_2.json
FBT,magic,0,2,40,3,0.80188,0.78534,0.805306,-0.003426,17.316945,fbt_capability_magic_n40_d3_trial_0_fold_2.json
FBT,magic,0,2,100,3,0.810424,0.780105,0.809791,0.000633,42.915675,fbt_capability_magic_n100_d3_trial_0_fold_2.json
FBT,magic,0,2,40,4,0.788636,0.768886,0.791854,-0.003218,35.930982,fbt_capability_magic_n40_d4_trial_0_fold_2.json
FBT,magic,0,2,100,4,0.802414,0.781601,0.800448,0.001966,80.024637,fbt_capability_magic_n100_d4_trial_0_fold_2.json
FBT,magic,0,2,100,5,0.798142,0.78908,0.797833,0.000309,115.529578,fbt_capability_magic_n100_d5_trial_0_fold_2.json
FBT,magic,0,2,40,5,0.783403,0.774869,0.786622,-0.003219,55.46251,fbt_capability_magic_n40_d5_trial_0_fold_2.json
FBT,magic,0,2,60,3,0.801559,0.791324,0.806054,-0.004495,27.220885,fbt_capability_magic_n60_d3_trial_0_fold_2.json
FBT,magic,0,2,20,4,0.796006,0.779357,0.803812,-0.007806,13.18783,fbt_capability_magic_n20_d4_trial_0_fold_2.json
FBT,magic,0,2,20,5,0.743779,0.745699,0.753363,-0.009584,42.558598,fbt_capability_magic_n20_d5_trial_0_fold_2.json
FBT,magic,0,2,20,3,0.808822,0.793568,0.813154,-0.004332,5.639838,fbt_capability_magic_n20_d3_trial_0_fold_2.json
FBT,magic,0,2,60,5,0.782548,0.771129,0.784753,-0.002205,84.907696,fbt_capability_magic_n60_d5_trial_0_fold_2.json
FBT,magic,0,2,60,4,0.813415,0.802543,0.806428,0.006987,51.279033,fbt_capability_magic_n60_d4_trial_0_fold_2.json
FBT,magic,0,2,10,3,0.795578,0.783844,0.803812,-0.008234,2.331954,fbt_capability_magic_n10_d3_trial_0_fold_2.json
FBT,magic,0,2,10,4,0.806259,0.783844,0.815022,-0.008763,4.460232,fbt_capability_magic_n10_d4_trial_0_fold_2.json
FBT,magic,0,2,10,5,0.789704,0.783844,0.797085,-0.007381,12.339982,fbt_capability_magic_n10_d5_trial_0_fold_2.json
FBT,magic,0,3,80,3,0.809142,0.782349,0.803812,0.00533,34.458824,fbt_capability_magic_n80_d3_trial_0_fold_3.json
FBT,magic,0,3,80,4,0.814803,0.800299,0.799327,0.015476,63.011697,fbt_capability_magic_n80_d4_trial_0_fold_3.json
FBT,magic,0,3,80,5,0.803482,0.795812,0.788864,0.014618,141.810276,fbt_capability_magic_n80_d5_trial_0_fold_3.json
FBT,magic,0,3,100,5,0.798889,0.78534,0.785501,0.013388,125.784632,fbt_capability_magic_n100_d5_trial_0_fold_3.json
FBT,magic,0,3,40,5,0.800064,0.789828,0.784006,0.016058,64.273889,fbt_capability_magic_n40_d5_trial_0_fold_3.json
FBT,magic,0,3,40,4,0.794297,0.783844,0.79148,0.002817,32.233718,fbt_capability_magic_n40_d4_trial_0_fold_3.json
FBT,magic,0,3,100,4,0.79718,0.790576,0.780643,0.016537,72.910162,fbt_capability_magic_n100_d4_trial_0_fold_3.json
FBT,magic,0,3,40,3,0.792695,0.780105,0.789985,0.00271,14.388715,fbt_capability_magic_n40_d3_trial_0_fold_3.json
FBT,magic,0,3,100,3,0.807113,0.788332,0.800075,0.007038,40.598391,fbt_capability_magic_n100_d3_trial_0_fold_3.json
FBT,magic,0,3,60,4,0.801453,0.793568,0.785874,0.015579,51.914923,fbt_capability_magic_n60_d4_trial_0_fold_3.json
FBT,magic,0,3,60,5,0.799423,0.793568,0.785127,0.014296,89.627633,fbt_capability_magic_n60_d5_trial_0_fold_3.json
FBT,magic,0,3,20,3,0.793549,0.784592,0.78438,0.009169,5.717184,fbt_capability_magic_n20_d3_trial_0_fold_3.json
