dataset,fold,trial_id,base_seed,random_state,n_estimators,max_depth,n_features,n_train_samples,fit_time_sec,train_acc,val_acc,test_acc,n_trees,total_leaves,mean_leaves_per_tree,std_leaves_per_tree,max_leaves_single_tree,mean_max_depth_per_tree,max_depth_any_tree,n_distinct_split_features,split_feature_entropy_bits
raisin,2,0,42,42,40,4,7,630,0.07977200099999493,0.9238095238095239,0.8,0.9055555555555556,40,486,12.15,2.3081377775167584,16,4.0,4,7,2.61827248236585
raisin,2,0,42,42,40,5,7,630,0.06962683700000127,0.9349206349206349,0.8,0.9055555555555556,40,723,18.075,4.681813217120051,25,5.0,5,7,2.6703165665676805
raisin,2,0,42,42,60,3,7,630,0.07610474799999167,0.9174603174603174,0.8,0.9111111111111111,60,422,7.033333333333333,1.3412266359153806,8,3.0,3,7,2.6611231373149122
raisin,2,0,42,42,60,4,7,630,0.07317482999999925,0.9412698412698413,0.7888888888888889,0.8944444444444445,60,668,11.133333333333333,3.0521395046025592,16,4.0,4,7,2.686471263929611
raisin,2,0,42,42,60,5,7,630,0.19828453099999876,0.9603174603174603,0.8111111111111111,0.8722222222222222,60,938,15.633333333333333,5.546670673075476,25,5.0,5,7,2.710371005388742
raisin,2,0,42,42,80,3,7,630,0.0657036369999986,0.9365079365079365,0.8,0.9111111111111111,80,552,6.9,1.4543039572248988,8,3.0,3,7,2.7040538982412126
raisin,2,0,42,42,80,4,7,630,0.05200327000000016,0.9682539682539683,0.7888888888888889,0.8888888888888888,80,849,10.6125,3.2229402336996573,16,4.0,4,7,2.721895243620964
raisin,2,0,42,42,80,5,7,630,0.10565038900000445,0.9857142857142858,0.8,0.8722222222222222,80,1159,14.4875,5.533971787965674,25,5.0,5,7,2.7321993239298124
raisin,2,0,42,42,100,3,7,630,0.12795616800001142,0.9476190476190476,0.8111111111111111,0.9111111111111111,100,682,6.82,1.4722771478223793,8,3.0,3,7,2.71536032721693
raisin,2,0,42,42,100,4,7,630,0.06482930999999326,0.9809523809523809,0.7888888888888889,0.8944444444444445,100,1015,10.15,3.250769139757544,16,4.0,4,7,2.7308823713528123
raisin,2,0,42,42,100,5,7,630,0.0863556359999933,0.9920634920634921,0.8,0.8666666666666667,100,1366,13.66,5.569955116515751,25,5.0,5,7,2.7328485906645814
raisin,3,0,42,42,10,3,7,630,0.022806682999998884,0.8888888888888888,0.9,0.8666666666666667,10,79,7.9,0.3,8,3.0,3,6,2.0934613897779886
raisin,3,0,42,42,10,4,7,630,0.010461628999991035,0.9047619047619048,0.8777777777777778,0.8555555555555555,10,139,13.9,1.57797338380595,16,4.0,4,7,2.457973247483856
raisin,3,0,42,42,10,5,7,630,0.01574567100000479,0.9222222222222223,0.9111111111111111,0.8388888888888889,10,234,23.4,3.826225293941799,29,5.0,5,7,2.6374404297241116
